"eV","Pi_Al_GibbSorb_std.xmu.nor","Pi_Apatite_CaDefHydroxy_std.xmu.nor","Pi_Fe_GoethSorb_std.xmu.nor","Pi_K_Pyro_std.xmu.nor","Pi_Mg_Tri_std.xmu.nor","Pi_Na_Tri_std.xmu.nor","Pi_NH4_Mg_std.xmu.nor","Po_Ca_Lecithin_std.xmu.nor"
2125.49,-9999,0.26861966,-9999,0.057015983,0.036403854,-9999,0.15894668,-9999
2127.49,-9999,0.22669259,-9999,0.047674827,0.02556655,-9999,0.1334519,-9999
2129.49,-9999,0.18729807,-9999,0.041076242,0.016644914,-9999,0.091933323,-9999
2131.49,-9999,0.086372194,-9999,0.017468527,0.017903612,-9999,0.065339606,-9999
2133.49,-9999,0.042704476,-9999,0.0040493573,0.026427082,-9999,0.047361047,-9999
2135.49,-9999,0.021710921,-9999,0.0041644473,0.014915017,-9999,0.028543645,-9999
2137.49,-9999,0.00031215784,-9999,-0.0095247772,0.0066212883,-9999,0.023870135,-9999
2139.49,-9999,-0.0028502582,-9999,-0.0058180195,-0.0041464454,-9999,0.014465199,-9999
2140.49,-9999,-0.026209008,-9999,-0.0017155224,-0.0088385138,-9999,0.0067420128,-9999
2140.59,-9999,-0.0066728574,-9999,-0.0023298126,-0.0073152771,-9999,0.0093751766,-9999
2140.69,-9999,-0.0056818312,-9999,-0.00011439761,-0.0083842438,-9999,0.0051702766,-9999
2140.79,-9999,-0.016168151,-9999,-0.0059882688,-0.0072706199,-9999,0.0015631881,-9999
2140.89,-9999,-0.016549575,-9999,0.005902773,-0.0085440381,-9999,0.00010290975,-9999
2140.99,-9999,-0.0097083461,-9999,0.0016294557,-0.0075617459,-9999,0.00038295713,-9999
2141.09,-9999,-0.017582238,-9999,0.0068587324,-0.0108346,-9999,-1.7193218e-05,-9999
2141.19,-9999,-0.0072509525,-9999,0.0012128938,-0.0082937204,-9999,0.0031606735,-9999
2141.29,-9999,-0.017030105,-9999,-0.0013523419,-0.0079304619,-9999,-0.0013438131,-9999
2141.39,-9999,-0.015286131,-9999,-0.0021798334,-0.0088794553,-9999,-0.00091329152,-9999
2141.49,-9999,-0.015643203,-9999,-0.0027446856,-0.011060127,-9999,-0.0011806705,-9999
2141.59,-9999,-0.025120398,-9999,-0.0071965975,-0.0075055086,-9999,-0.0046509025,-9999
2141.69,-9999,-0.0088863098,-9999,-0.0090678479,-0.0068529654,-9999,-0.00017391942,-9999
2141.79,-9999,-0.022587027,-9999,-0.0078677649,-0.0096161107,-9999,-0.0027113477,-9999
2141.89,-9999,-0.016639011,-9999,-0.0093373319,-0.0098679814,-9999,-0.0016339915,-9999
2141.99,-9999,-0.020742317,-9999,-0.011497176,-0.0071886709,-9999,-0.00029517787,-9999
2142.09,-9999,-0.017442769,-9999,-0.013325168,-0.0048511779,-9999,0.00074541091,-9999
2142.19,-9999,-0.010405754,-9999,-0.0082510034,-0.0051328644,-9999,-0.0028929981,-9999
2142.29,-9999,-0.020109904,-9999,-0.01248477,-0.006933384,-9999,0.00078803793,-9999
2142.39,-9999,-0.0093977614,-9999,-0.0093355958,-0.004795373,-9999,-0.0039200313,-9999
2142.49,-9999,-0.011780878,-9999,-0.0072307982,-0.0056691169,-9999,-0.0029243805,-9999
2142.59,-9999,-0.012944472,-9999,-0.010062999,-0.0054197975,-9999,-0.0016883796,-9999
2142.69,-9999,-0.0095426481,-9999,-0.0069354535,-0.0056127464,-9999,-0.0064978998,-9999
2142.79,-9999,-0.0075580809,-9999,-0.0080224942,-0.0061599359,-9999,-0.0070737168,-9999
2142.89,-9999,0.00082800727,-9999,-0.0069212872,-0.0069932154,-9999,-0.0021636949,-9999
2142.99,-9999,0.0052272687,-9999,-0.0089451773,-0.0064201811,-9999,-0.0073129735,-9999
2143.09,-9999,0.0048331819,-9999,-0.0064047077,-0.0048153058,-9999,-0.0057018085,-9999
2143.19,-9999,4.5111427e-05,-9999,-0.0114301,-0.005608476,-9999,-0.0066139795,-9999
2143.29,-9999,-0.007495652,-9999,-0.0061705424,-0.0051845209,-9999,-0.0048754902,-9999
2143.39,-9999,-0.0039418745,-9999,-0.0073712905,-0.0023327046,-9999,-0.0058448551,-9999
2143.49,-9999,-0.0068597502,-9999,-0.012457862,-0.0064546003,-9999,-0.0082474694,-9999
2143.59,-9999,-0.0015477947,-9999,-0.010518682,-0.0054857963,-9999,-0.0069474658,-9999
2143.69,-9999,-0.0068774425,-9999,-0.0081611326,-0.0039831467,-9999,-0.0064413668,-9999
2143.79,-9999,-0.011304137,-9999,-0.0057016176,-0.003987262,-9999,-0.0051542999,-9999
2143.89,-9999,-0.0081029689,-9999,-0.011505658,-0.0037035123,-9999,-0.0052289903,-9999
2143.99,-9999,-0.0082973734,-9999,-0.010430406,-0.0062682403,-9999,-0.0060458384,-9999
2144.09,-9999,-0.012620817,-9999,-0.002437547,-0.0060629348,-9999,-0.0011426253,-9999
2144.19,-9999,-0.010960612,-9999,-0.0075704668,-0.0034996932,-9999,-0.0029719398,-9999
2144.29,-9999,-0.011662502,-9999,-0.011157832,-0.0054262202,-9999,-0.0045193706,-9999
2144.39,-9999,-0.0094159125,-9999,-0.0041253061,-0.0022627573,-9999,-0.0019182081,-9999
2144.49,-9999,-0.014324766,-9999,-0.0055639743,-0.0015023092,-9999,-0.0062054943,-9999
2144.59,-9999,-0.0083533724,-9999,-0.0071552822,-0.00095518635,-9999,-0.0039025566,-9999
2144.69,-9999,-0.016728905,-9999,-0.0027571812,-0.0019112788,-9999,-0.0071766956,-9999
2144.79,-9999,-0.011708194,-9999,-0.002072489,0.00103105,-9999,-0.0033656118,-9999
2144.89,-9999,-0.0062121408,-9999,-0.0049646333,0.0041352361,-9999,-0.0015406508,-9999
2144.99,-9999,-0.0053457942,-9999,-0.0017172008,0.00012266509,-9999,-0.0020456565,-9999
2145.09,-9999,-0.011473197,-9999,-0.0010182952,0.0024466701,-9999,-0.0031055782,-9999
2145.19,-9999,-0.013195901,-9999,-0.0027165127,0.0037306701,-9999,-0.0048313992,-9999
2145.29,-9999,-0.0019509476,-9999,0.00043266179,0.0019929768,-9999,-0.0043498117,-9999
2145.39,-9999,-0.0013670784,-9999,0.0028754914,0.0055578886,-9999,-0.0045919982,-9999
2145.49,-9999,-0.0012799796,-9999,0.0031158599,0.0052804615,-9999,-0.0020521148,-9999
2145.59,-9999,0.0019698912,-9999,0.0074737926,0.0074539675,-9999,0.0026447921,-9999
2145.69,-9999,0.0068503382,-9999,0.0091083116,0.0080933775,-9999,-0.0037511752,-9999
2145.79,-9999,0.0071322489,-9999,0.0073816672,0.0054700827,-9999,0.0032784217,-9999
2145.89,-9999,0.017070988,-9999,0.006187099,0.0057683853,-9999,0.0038832482,-9999
2145.99,-9999,0.013204378,-9999,0.011957721,0.0063655561,-9999,0.0027988149,-9999
2146.09,-9999,0.022547967,-9999,0.010879332,0.0090753923,-9999,0.0030339243,-9999
2146.19,-9999,0.018583951,-9999,0.014108843,0.010198955,-9999,0.0010650296,-9999
2146.29,-9999,0.027007054,-9999,0.017117738,0.0088101777,-9999,0.0063066394,-9999
2146.39,-9999,0.030695252,-9999,0.020503596,0.010947834,-9999,0.005800272,-9999
2146.49,-9999,0.032591179,-9999,0.014291075,0.010096807,-9999,0.0062341979,-9999
2146.59,-9999,0.032341253,-9999,0.020069113,0.013302154,-9999,0.010607007,-9999
2146.69,-9999,0.042870273,-9999,0.020866895,0.014339463,-9999,0.013569716,-9999
2146.79,-9999,0.036990282,-9999,0.019090194,0.017102897,-9999,0.0089726296,-9999
2146.89,-9999,0.035861754,-9999,0.020717916,0.017695808,-9999,0.014991803,-9999
2146.99,-9999,0.053066979,-9999,0.023118105,0.015991835,-9999,0.016414364,-9999
2147.09,-9999,0.039754912,-9999,0.025640036,0.02010621,-9999,0.017082513,-9999
