eV,Pi_Al_GibbSorb_std.xmu.nor,Pi_Apatite_CaDefHydroxy_std.xmu.nor,Pi_Fe_GoethSorb_std.xmu.nor,Pi_K_Pyro_std.xmu.nor,Pi_Mg_Tri_std.xmu.nor,Pi_Na_Tri_std.xmu.nor,Pi_NH4_Mg_std.xmu.nor,Po_Na_AMP_std.xmu.nor
2127.49,NA,0.22669259,NA,0.047674827,0.02556655,NA,0.1334519,NA
2129.49,NA,0.18729807,NA,0.041076242,0.016644914,NA,0.091933323,NA
2131.49,NA,0.086372194,NA,0.017468527,0.017903612,NA,0.065339606,NA
2133.49,NA,0.042704476,NA,0.004049357,0.026427082,NA,0.047361047,NA
2135.49,NA,0.021710921,NA,0.004164447,0.014915017,NA,0.028543645,NA
2137.49,NA,0.000312158,NA,-0.009524777,0.006621288,NA,0.023870135,NA
2139.49,NA,-0.002850258,NA,-0.00581802,-0.004146445,NA,0.014465199,NA
2140.49,NA,-0.026209008,NA,-0.001715522,-0.008838514,NA,0.006742013,NA
2140.59,NA,-0.006672857,NA,-0.002329813,-0.007315277,NA,0.009375177,NA
2140.69,NA,-0.005681831,NA,-0.000114398,-0.008384244,NA,0.005170277,NA
2140.79,NA,-0.016168151,NA,-0.005988269,-0.00727062,NA,0.001563188,NA
2140.89,NA,-0.016549575,NA,0.005902773,-0.008544038,NA,0.00010291,NA
2140.99,NA,-0.009708346,NA,0.001629456,-0.007561746,NA,0.000382957,NA
2141.09,NA,-0.017582238,NA,0.006858732,-0.0108346,NA,-1.72E-05,NA
2141.19,NA,-0.007250953,NA,0.001212894,-0.00829372,NA,0.003160674,NA
2141.29,NA,-0.017030105,NA,-0.001352342,-0.007930462,NA,-0.001343813,NA
2141.39,NA,-0.015286131,NA,-0.002179833,-0.008879455,NA,-0.000913292,NA
2141.49,NA,-0.015643203,NA,-0.002744686,-0.011060127,NA,-0.001180671,NA
2141.59,NA,-0.025120398,NA,-0.007196598,-0.007505509,NA,-0.004650903,NA
2141.69,NA,-0.00888631,NA,-0.009067848,-0.006852965,NA,-0.000173919,NA
2141.79,NA,-0.022587027,NA,-0.007867765,-0.009616111,NA,-0.002711348,NA
2141.89,NA,-0.016639011,NA,-0.009337332,-0.009867981,NA,-0.001633992,NA
2141.99,NA,-0.020742317,NA,-0.011497176,-0.007188671,NA,-0.000295178,NA
2142.09,NA,-0.017442769,NA,-0.013325168,-0.004851178,NA,0.000745411,NA
2142.19,NA,-0.010405754,NA,-0.008251003,-0.005132864,NA,-0.002892998,NA
2142.29,NA,-0.020109904,NA,-0.01248477,-0.006933384,NA,0.000788038,NA
2142.39,NA,-0.009397761,NA,-0.009335596,-0.004795373,NA,-0.003920031,NA
2142.49,NA,-0.011780878,NA,-0.007230798,-0.005669117,NA,-0.002924381,NA
2142.59,NA,-0.012944472,NA,-0.010062999,-0.005419798,NA,-0.00168838,NA
2142.69,NA,-0.009542648,NA,-0.006935454,-0.005612746,NA,-0.0064979,NA
2142.79,NA,-0.007558081,NA,-0.008022494,-0.006159936,NA,-0.007073717,NA
2142.89,NA,0.000828007,NA,-0.006921287,-0.006993215,NA,-0.002163695,NA
2142.99,NA,0.005227269,NA,-0.008945177,-0.006420181,NA,-0.007312974,NA
2143.09,NA,0.004833182,NA,-0.006404708,-0.004815306,NA,-0.005701809,NA
2143.19,NA,4.51E-05,NA,-0.0114301,-0.005608476,NA,-0.00661398,NA
2143.29,NA,-0.007495652,NA,-0.006170542,-0.005184521,NA,-0.00487549,NA
2143.39,NA,-0.003941875,NA,-0.007371291,-0.002332705,NA,-0.005844855,NA
2143.49,NA,-0.00685975,NA,-0.012457862,-0.0064546,NA,-0.008247469,NA
2143.59,NA,-0.001547795,NA,-0.010518682,-0.005485796,NA,-0.006947466,NA
2143.69,NA,-0.006877443,NA,-0.008161133,-0.003983147,NA,-0.006441367,NA
