Chemical_Shift_parts_per_million,BSLE_0004-solid,BSLE_0003-solid,BSLE_0008-solid,BSLE_0010-solid,BSLE_0001-solid,BSLE_0013-solid,BSLE_0017-solid,BSLE_0057-solid,BSLE_0066-solid,BSLE_0070-solid,BSLE_0014-solid,BSLE_0024-solid,BSLE_0028-solid,BSLE_0034-solid,BSLE_0018-solid,BSLE_0044-solid,BSLE_0042-solid,BSLE_0030-solid,BSLE_0063-solid,BSLE_0019-solid,BSLE_0046-solid
5.9133,0.9015,0.6969,0.2765,0,0,0.0148,0.7105,0,0.2702,0,0.7964,0.2931,0.1714,0.1801,0.4795,0.0295,1.005,0,0,0.1054,0.06
5.974,0.821,0.6847,0.321,0,0,0,0.8022,0,0.2622,0,0.8272,0.3126,0.2047,0.2088,0.5039,0.0565,1.0691,0,0,0.1374,0.0752
6.0347,0.7142,0.6928,0.3383,0,0,0,0.8717,0,0.2606,0,0.8676,0.3254,0.2244,0.2256,0.5535,0.0871,1.1307,0,0,0.1757,0.1118
6.0953,0.5847,0.7199,0.3401,0,0,0,0.9127,0,0.269,0,0.9079,0.3291,0.2321,0.2285,0.6094,0.1265,1.1849,0,0,0.2168,0.1706
6.156,0.4509,0.7595,0.3377,0,0,0,0.9289,0,0.2821,0,0.9386,0.3293,0.2327,0.217,0.6512,0.1789,1.2307,0,0,0.2531,0.245
6.2167,0.3452,0.799,0.3348,0,0,0,0.9327,0,0.2902,0,0.9554,0.3363,0.2306,0.1967,0.6682,0.2433,1.2699,0,0,0.2738,0.3228
6.2773,0.3013,0.8221,0.3249,0,0.002,0,0.9384,0,0.2857,0,0.9618,0.3565,0.2275,0.1775,0.6606,0.3114,1.306,0,0,0.2719,0.3907
6.338,0.3376,0.815,0.2976,0,0.0303,0.0102,0.9565,0,0.2693,0,0.9656,0.3879,0.2227,0.1645,0.6328,0.3701,1.3429,0,0,0.2509,0.4382
6.3986,0.4454,0.777,0.2471,0,0.0605,0.0488,0.9902,0,0.2516,0,0.974,0.4206,0.2164,0.1525,0.5911,0.4069,1.384,0,0,0.2245,0.4609
6.4593,0.592,0.7233,0.1789,0,0.0865,0.09,1.0358,0,0.2484,0,0.9894,0.4438,0.2121,0.1313,0.5449,0.4144,1.4306,0,0,0.2078,0.4629
6.52,0.7353,0.6784,0.1086,0,0.1015,0.1301,1.088,0,0.2734,0,1.0083,0.4531,0.2166,0.0965,0.507,0.3924,1.4807,0,0,0.2076,0.4546
6.5806,0.8424,0.6609,0.0538,0,0.1031,0.1638,1.1439,0,0.3307,0,1.0254,0.4543,0.2363,0.0578,0.4883,0.3469,1.5286,0,0,0.2201,0.4479
6.6413,0.9016,0.6738,0.0237,0,0.0958,0.1884,1.2048,0,0.4119,0,1.0375,0.4592,0.2726,0.033,0.4889,0.2889,1.5667,0,0,0.2391,0.4502
6.702,0.9218,0.7059,0.0145,0,0.0884,0.2073,1.2729,0,0.499,0,1.0462,0.4774,0.3195,0.035,0.4982,0.232,1.589,0,0,0.264,0.4593
6.7626,0.9239,0.7428,0.0121,0,0.0884,0.2297,1.3465,0,0.5709,0,1.0563,0.5093,0.3657,0.0628,0.504,0.1907,1.594,0,0,0.2998,0.4639
6.8233,0.9285,0.7773,0.0015,0,0.0968,0.2653,1.4169,0,0.6117,0,1.0725,0.5452,0.4,0.105,0.5035,0.1768,1.5868,0,0,0.3481,0.4503
6.8839,0.9491,0.8101,0,0,0.1077,0.3175,1.4702,0,0.6147,0,1.0959,0.5705,0.4168,0.1504,0.5059,0.1946,1.5765,0,0,0.399,0.4107
6.9446,0.9888,0.8441,0,0,0.1135,0.3802,1.4944,0.0072,0.5831,0,1.1233,0.5739,0.4191,0.1949,0.5235,0.2376,1.5731,0,0,0.4342,0.349
7.0053,1.0412,0.8785,0,0,0.1113,0.4401,1.4857,0.0262,0.5269,0,1.149,0.5535,0.4161,0.2391,0.5613,0.2883,1.5825,0,0,0.4396,0.2803
7.0659,1.0923,0.9087,0,0,0.1059,0.4838,1.4518,0.0515,0.4578,0,1.1678,0.5169,0.4185,0.2807,0.6146,0.3246,1.6053,0.0072,0.0571,0.4174,0.2232
7.1266,1.1228,0.9312,0,0,0.1057,0.5048,1.4076,0.0784,0.3861,0,1.1764,0.4765,0.4324,0.3117,0.6758,0.3296,1.6373,0.0452,0.1557,0.3861,0.1902
7.1873,1.114,0.9478,0,0,0.1168,0.5069,1.3686,0.0965,0.3194,0,1.1738,0.4437,0.4569,0.3242,0.7407,0.3,1.672,0.0838,0.2301,0.3682,0.1826
7.2479,1.057,0.9638,0,0,0.1373,0.5007,1.3435,0.0954,0.2628,0,1.1605,0.4243,0.4842,0.3176,0.8069,0.2494,1.7026,0.1203,0.2722,0.3758,0.1923
7.3086,0.9608,0.9838,0,0,0.159,0.4985,1.3338,0.0744,0.2193,0,1.139,0.4184,0.5037,0.3008,0.8677,0.2021,1.7239,0.1511,0.2823,0.4045,0.2095
7.3692,0.8544,1.0082,0,0,0.1735,0.5075,1.3373,0.0447,0.189,0,1.1147,0.4215,0.5069,0.2868,0.9112,0.1816,1.7316,0.1729,0.2684,0.4395,0.2296
7.4299,0.7777,1.0329,0,0,0.179,0.5286,1.3531,0.0252,0.1691,0,1.0962,0.4272,0.4909,0.2856,0.9269,0.1997,1.7241,0.1844,0.2422,0.4668,0.2559
7.4906,0.7629,1.0535,0,0,0.1825,0.5575,1.3836,0.0312,0.1534,0,1.0936,0.4289,0.4603,0.3006,0.9161,0.2516,1.7034,0.1874,0.2145,0.4814,0.2954
7.5512,0.8177,1.0685,0,0,0.1947,0.5884,1.4304,0.0648,0.136,0,1.1151,0.4211,0.4248,0.33,0.8922,0.3187,1.6769,0.1868,0.1931,0.4872,0.352
7.6119,0.9184,1.0804,0,0,0.2227,0.6164,1.4877,0.1129,0.1148,0,1.1621,0.4014,0.3958,0.369,0.8717,0.378,1.6565,0.1884,0.1818,0.491,0.422
7.6726,1.0203,1.0936,0,0,0.2644,0.6374,1.5403,0.1537,0.0953,0,1.2272,0.3726,0.381,0.4104,0.8633,0.4118,1.6553,0.1963,0.1823,0.4967,0.4957
7.7332,1.08,1.1121,0,0,0.3107,0.6472,1.5674,0.17,0.0894,0,1.2966,0.3437,0.3814,0.4451,0.8676,0.4136,1.6819,0.2118,0.1954,0.5042,0.562
7.7939,1.0775,1.1367,0,0,0.3521,0.6403,1.5546,0.158,0.1104,0,1.3554,0.3274,0.3907,0.4661,0.8844,0.3887,1.7355,0.2339,0.22,0.5113,0.6142
7.8545,1.0249,1.1651,0,0,0.3845,0.6122,1.5039,0.1292,0.1654,0,1.3938,0.3343,0.3992,0.472,0.9195,0.3499,1.8061,0.2607,0.2521,0.5168,0.6513
7.9152,0.9576,1.1944,0,0,0.4112,0.5621,1.4367,0.1033,0.2494,0,1.4098,0.3674,0.3985,0.4693,0.9803,0.3123,1.8779,0.2911,0.2824,0.521,0.6757
7.9759,0.9113,1.2234,0,0,0.4387,0.4962,1.3849,0.0974,0.345,0,1.4082,0.4188,0.386,0.4691,1.0642,0.2876,1.9373,0.3253,0.2983,0.5236,0.6899
8.0365,0.9016,1.2526,0,0,0.4707,0.4262,1.3751,0.1179,0.4284,0,1.3961,0.4725,0.3657,0.4804,1.1526,0.2817,1.978,0.3633,0.288,0.5225,0.6951
8.0972,0.9168,1.2818,0,0,0.5056,0.3662,1.415,0.1599,0.4794,0,1.3793,0.5125,0.3456,0.506,1.2193,0.2936,2.003,0.4028,0.2463,0.5161,0.6935
8.1579,0.9286,1.3062,0,0.0139,0.5378,0.3261,1.4901,0.2116,0.4894,0,1.3611,0.5312,0.3326,0.542,1.2478,0.3168,2.0206,0.4384,0.1795,0.5065,0.6902
8.2185,0.9135,1.3173,0,0.0734,0.5628,0.3084,1.5738,0.2615,0.4644,0,1.3437,0.533,0.3297,0.5814,1.2424,0.3437,2.0386,0.4628,0.1048,0.5009,0.6931
8.2792,0.8708,1.3077,0,0.0973,0.5791,0.3075,1.6433,0.3019,0.421,0,1.3314,0.5315,0.3361,0.6166,1.2229,0.3687,2.0597,0.469,0.044,0.5074,0.7088
